applicant_id,is_credible,credit_score,experience_years,criminal_record
1,1,737,10,0
2,1,588,6,0
3,1,642,9,0
4,1,730,4,1
5,1,961,5,0
6,1,533,5,0
7,1,810,8,0
8,1,172,6,0
9,1,592,5,0
10,1,390,6,0
11,1,844,3,0
12,1,751,10,0
13,1,581,6,0
14,1,279,8,1
15,1,257,2,0
16,1,950,3,1
17,1,935,3,0
18,1,839,3,0
19,1,362,7,0
20,1,185,3,0
21,1,707,1,0
22,0,301,3,1
23,1,488,1,0
24,1,951,9,0
25,1,214,1,1
26,1,461,4,0
27,1,480,8,0
28,0,692,2,0
29,1,624,4,0
30,1,716,5,0
31,1,452,8,0
32,1,287,4,0
33,1,443,5,0
34,1,492,6,0
35,1,597,4,0
36,1,209,8,0
37,1,177,7,0
38,1,491,6,0
39,1,139,4,0
40,1,331,4,0
41,1,304,3,0
42,1,292,5,0
43,1,506,1,0
44,1,471,7,0
45,1,752,1,0
46,1,839,1,0
47,1,374,7,0
48,1,918,7,0
49,1,656,7,0
50,1,148,3,0
51,1,938,2,0
52,1,179,9,0
53,1,759,5,0
54,1,462,6,0
55,1,232,2,0
56,1,122,9,0
57,1,864,1,0
58,1,794,4,0
59,1,800,5,0
60,1,506,10,0
61,1,250,4,0
62,1,468,3,0
63,1,156,4,0
64,1,931,9,1
65,1,578,1,0
66,1,421,4,0
67,1,760,10,0
68,1,243,4,0
69,0,134,3,0
70,0,448,6,1
71,1,401,9,0
72,1,771,5,0
73,1,238,5,0
74,1,117,9,0
75,1,770,6,0
76,1,280,2,0
77,1,780,10,0
78,1,500,10,0
79,0,742,7,1
80,1,665,3,0
81,1,801,3,0
82,1,220,8,0
83,1,260,3,0
84,0,297,10,0
85,1,145,1,0
86,1,672,6,0
87,1,408,2,0
88,1,960,1,0
89,1,968,7,0
90,1,118,2,0
91,1,375,10,0
92,1,861,10,0
93,1,554,3,0
94,1,969,2,0
95,1,340,3,0
96,1,149,1,0
97,1,199,2,1
98,1,457,6,0
99,1,929,1,1
100,1,245,6,0
101,1,221,2,0
102,1,763,6,0
103,0,360,4,0
104,1,944,4,0
105,0,827,2,0
106,1,418,5,0
107,1,948,4,0
108,1,523,8,0
109,0,388,10,0
110,1,855,7,0
111,1,365,7,1
112,1,226,3,0
113,1,604,5,0
114,1,762,10,0
115,1,195,4,0
116,1,125,9,0
117,1,271,5,0
118,1,230,1,0
119,1,294,1,1
120,1,721,9,0
121,1,962,6,0
122,1,839,5,0
123,1,639,5,1
124,1,251,1,0
125,1,813,10,0
126,1,516,6,0
127,0,880,9,0
128,1,200,10,0
129,1,701,6,0
130,1,357,9,0
131,1,261,3,0
132,0,597,3,0
133,1,161,2,0
134,1,892,2,1
135,1,633,8,0
136,1,783,10,0
137,1,179,8,0
138,1,486,5,0
139,1,884,9,0
140,1,107,7,0
141,1,671,1,0
